year,GEOID,NAME,B25001_001E,B25002_003E,B25032_001E,B25032_013E,B25008_003E,B25119_003E,B25037_003E,B25039_003E,B25064_001E,B25071_001E,B25013_011E,B25003H_003E,B25003B_003E,B25003D_003E,B25003I_003E,B17017_001E,B17017_002E
2012,36005000100,"Census Tract 1, Bronx County, New York",0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
2013,36005000100,"Census Tract 1, Bronx County, New York",0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
2014,36005000100,"Census Tract 1, Bronx County, New York",0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
2015,36005000100,"Census Tract 1, Bronx County, New York",0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
2016,36005000100,"Census Tract 1, Bronx County, New York",0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
2017,36005000100,"Census Tract 1, Bronx County, New York",0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
2018,36005000100,"Census Tract 1, Bronx County, New York",0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
2019,36005000100,"Census Tract 1, Bronx County, New York",0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
2020,36005000100,"Census Tract 1, Bronx County, New York",0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
2012,36005000200,"Census Tract 2, Bronx County, New York",1460,157,1303,478,1760,50786,1944,2005,1339,24.4,14,0,81,25,375,1303,203
2013,36005000200,"Census Tract 2, Bronx County, New York",1476,129,1347,549,1765,25885,1954,2006,1264,45,34,0,113,25,430,1347,278
2014,36005000200,"Census Tract 2, Bronx County, New York",1475,96,1379,577,1906,25341,1961,2006,1282,46.6,38,0,123,42,447,1379,294
2015,36005000200,"Census Tract 2, Bronx County, New York",1492,113,1379,683,2408,42566,1963,2008,1358,42,143,0,144,0,581,1379,254
2016,36005000200,"Census Tract 2, Bronx County, New York",1486,155,1331,617,2175,42917,1968,2010,1237,42.2,144,0,164,0,535,1331,176
2017,36005000200,"Census Tract 2, Bronx County, New York",1465,144,1321,677,2421,40679,1978,2011,1250,48.8,134,0,190,0,572,1321,300
2018,36005000200,"Census Tract 2, Bronx County, New York",1486,158,1328,631,2344,44390,1968,2011,1615,42,154,0,176,0,518,1328,207
2019,36005000200,"Census Tract 2, Bronx County, New York",1499,157,1342,638,2173,40592,1966,2012,1559,47.2,231,0,183,0,557,1342,229
2020,36005000200,"Census Tract 2, Bronx County, New York",1462,122,1340,564,1502,41667,1984,2009,1701,42.4,253,0,128,0,529,1340,215
2012,36005000400,"Census Tract 4, Bronx County, New York",1849,167,1682,484,1522,39022,1965,2005,1569,37,120,13,141,13,340,1682,129
2013,36005000400,"Census Tract 4, Bronx County, New York",1912,159,1753,487,1566,39803,1963,2006,1413,36.2,114,23,142,13,329,1753,153
2014,36005000400,"Census Tract 4, Bronx County, New York",1995,176,1819,507,1563,38393,1968,2007,1491,35.6,128,14,170,15,343,1819,159
2015,36005000400,"Census Tract 4, Bronx County, New York",2129,208,1921,518,1600,27500,1972,2007,1448,39.2,74,30,129,19,368,1921,232
2016,36005000400,"Census Tract 4, Bronx County, New York",2130,204,1926,507,1593,37674,1978,2007,1390,39.5,101,35,116,23,366,1926,243
2017,36005000400,"Census Tract 4, Bronx County, New York",2118,183,1935,453,1362,38393,1987,2009,1278,40.6,94,38,102,21,313,1935,239
2018,36005000400,"Census Tract 4, Bronx County, New York",2115,152,1963,464,1217,50313,1998,2011,1481,29.5,107,35,133,23,308,1963,207
2019,36005000400,"Census Tract 4, Bronx County, New York",2183,141,2042,428,952,41989,1990,2012,1314,43.1,91,37,184,0,223,2042,219
2020,36005000400,"Census Tract 4, Bronx County, New York",2198,88,2110,561,1103,66298,2000,2016,1580,23.1,99,14,194,0,385,2110,110
2012,36005001600,"Census Tract 16, Bronx County, New York",2063,123,1940,1527,3395,27188,1970,2001,856,33.4,126,25,618,0,933,1940,363
2013,36005001600,"Census Tract 16, Bronx County, New York",2043,98,1945,1567,3470,26306,1973,2001,863,33.3,133,12,605,0,1026,1945,415
2014,36005001600,"Census Tract 16, Bronx County, New York",2038,126,1912,1537,3729,28845,1973,2001,920,31.6,177,20,575,0,994,1912,400
2015,36005001600,"Census Tract 16, Bronx County, New York",2046,82,1964,1618,4419,27653,1974,2003,950,31.3,158,21,611,0,1071,1964,550
2016,36005001600,"Census Tract 16, Bronx County, New York",2049,79,1970,1665,4794,28569,1975,2004,945,32,133,28,631,0,1136,1970,615
2017,36005001600,"Census Tract 16, Bronx County, New York",2045,83,1962,1713,5009,31250,1974,2005,989,32,215,29,626,0,1198,1962,557
2018,36005001600,"Census Tract 16, Bronx County, New York",2069,87,1982,1699,4814,33419,1973,2006,1065,32,251,37,658,0,1134,1982,443
2019,36005001600,"Census Tract 16, Bronx County, New York",2016,45,1971,1726,4823,32810,1974,2006,1030,32.2,255,42,716,0,1117,1971,569
2020,36005001600,"Census Tract 16, Bronx County, New York",2175,22,2153,1894,4839,33142,1974,2004,954,30.8,233,45,702,0,1066,2153,517
2012,36005001900,"Census Tract 19, Bronx County, New York",805,60,745,686,1940,28704,1976,2005,1152,40,124,87,237,0,431,745,285
2013,36005001900,"Census Tract 19, Bronx County, New York",891,60,831,771,2000,34179,1980,2007,1092,35.3,207,117,212,6,479,831,289
2014,36005001900,"Census Tract 19, Bronx County, New York",895,61,834,772,1944,35227,1989,2011,1126,35.6,211,111,247,6,425,834,275
2015,36005001900,"Census Tract 19, Bronx County, New York",947,46,901,816,1890,36554,1991,2011,1140,34.3,234,113,302,9,422,901,269
2016,36005001900,"Census Tract 19, Bronx County, New York",1011,49,962,874,1938,38007,2002,2012,1134,33.7,254,88,365,9,437,962,301
2017,36005001900,"Census Tract 19, Bronx County, New York",1017,48,969,869,2034,38701,2002,NA,1181,33.9,287,108,337,26,426,969,282
2018,36005001900,"Census Tract 19, Bronx County, New York",1002,73,929,831,1962,40025,2002,2012,1270,34.8,241,122,344,30,379,929,281
2019,36005001900,"Census Tract 19, Bronx County, New York",1170,91,1079,965,2291,39978,2000,2013,1344,35.8,325,151,425,34,462,1079,298
2020,36005001901,"Census Tract 19.01, Bronx County, New York",843,59,784,776,1888,61447,2005,NA,1284,28.7,337,140,381,0,334,784,214
2020,36005001902,"Census Tract 19.02, Bronx County, New York",369,40,329,269,670,48661,0,2015,1536,33.6,92,59,87,24,145,329,68
2020,36005001903,"Census Tract 19.03, Bronx County, New York",0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
2020,36005001904,"Census Tract 19.04, Bronx County, New York",0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
2012,36005002000,"Census Tract 20, Bronx County, New York",3162,153,3009,2599,7097,19213,1956,2000,537,29.3,224,11,1046,0,1674,3009,1102
2013,36005002000,"Census Tract 20, Bronx County, New York",3161,181,2980,2662,7422,17235,1957,2001,472,29.7,211,11,1167,13,1623,2980,1276
2014,36005002000,"Census Tract 20, Bronx County, New York",3169,189,2980,2482,7340,17917,1956,2002,601,31.8,231,45,1069,34,1546,2980,1203
2015,36005002000,"Census Tract 20, Bronx County, New York",3170,217,2953,2477,6908,NA,1955,2003,664,37.6,131,43,1021,29,1602,2953,1562
2016,36005002000,"Census Tract 20, Bronx County, New York",3190,182,3008,2497,7340,14701,1955,2004,610,36.2,219,34,1059,29,1615,3008,1656
2017,36005002000,"Census Tract 20, Bronx County, New York",3201,127,3074,2520,7879,15516,1954,2005,607,35.2,275,38,1156,24,1584,3074,1625
2018,36005002000,"Census Tract 20, Bronx County, New York",3215,64,3151,2563,7536,18119,1952,2006,658,32,316,39,1203,14,1625,3151,1431
2019,36005002000,"Census Tract 20, Bronx County, New York",3351,82,3269,2852,7727,17473,1955,2007,527,30.5,214,0,1275,0,1791,3269,1683
2020,36005002001,"Census Tract 20.01, Bronx County, New York",1658,4,1654,1654,4837,16534,1955,2005,382,28.3,75,0,980,0,832,1654,937
2020,36005002002,"Census Tract 20.02, Bronx County, New York",1993,128,1865,1289,3161,NA,1962,2011,NA,23.4,174,0,442,0,943,1865,667
2012,36005002300,"Census Tract 23, Bronx County, New York",1991,71,1920,1912,4766,13470,1963,2001,349,31.2,79,19,636,0,1493,1920,1050
2013,36005002300,"Census Tract 23, Bronx County, New York",1933,98,1835,1818,4641,13910,1962,2001,350,31,72,19,678,0,1357,1835,999
2014,36005002300,"Census Tract 23, Bronx County, New York",1960,77,1883,1866,4830,14298,1961,2002,398,31.5,60,18,711,0,1321,1883,1064
2015,36005002300,"Census Tract 23, Bronx County, New York",2004,67,1937,1919,4743,14479,1957,2002,405,31.2,91,9,660,0,1320,1937,1081
2016,36005002300,"Census Tract 23, Bronx County, New York",2011,51,1960,1945,4796,16495,1956,2003,417,30.5,105,9,707,0,1293,1960,964
2017,36005002300,"Census Tract 23, Bronx County, New York",2036,54,1982,1974,4712,17516,1956,2004,438,31,61,10,754,0,1202,1982,993
2018,36005002300,"Census Tract 23, Bronx County, New York",2009,9,2000,2000,4595,18032,1959,2004,469,31.6,81,0,927,0,1174,2000,932
2019,36005002300,"Census Tract 23, Bronx County, New York",1914,0,1914,1914,4297,18688,1960,2003,444,31.8,127,0,821,0,1293,1914,865
2020,36005002300,"Census Tract 23, Bronx County, New York",1874,0,1874,1874,4512,24474,1962,2004,479,30.7,98,6,736,0,1315,1874,820
2012,36005002400,"Census Tract 24, Bronx County, New York",0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
2013,36005002400,"Census Tract 24, Bronx County, New York",0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
2014,36005002400,"Census Tract 24, Bronx County, New York",0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
2015,36005002400,"Census Tract 24, Bronx County, New York",30,0,30,30,150,NA,NA,NA,NA,NA,30,0,30,0,0,30,0
2016,36005002400,"Census Tract 24, Bronx County, New York",26,0,26,26,123,NA,NA,NA,NA,NA,26,0,26,0,0,26,0
2017,36005002400,"Census Tract 24, Bronx County, New York",28,0,28,28,130,NA,NA,NA,NA,NA,28,0,28,0,0,28,0
2018,36005002400,"Census Tract 24, Bronx County, New York",43,0,43,43,172,NA,NA,NA,NA,NA,38,0,38,0,0,43,0
2019,36005002400,"Census Tract 24, Bronx County, New York",38,0,38,38,155,NA,NA,NA,NA,NA,38,0,38,0,0,38,0
2020,36005002400,"Census Tract 24, Bronx County, New York",0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
2012,36005002500,"Census Tract 25, Bronx County, New York",2083,257,1826,1785,4714,14612,1956,2001,543,34.7,27,59,428,23,1405,1826,1023
2013,36005002500,"Census Tract 25, Bronx County, New York",2063,249,1814,1791,5059,14619,1952,2003,594,34,91,29,442,54,1430,1814,1057
2014,36005002500,"Census Tract 25, Bronx County, New York",2051,257,1794,1761,5015,15408,1951,2003,585,35.3,134,8,455,54,1346,1794,1035
2015,36005002500,"Census Tract 25, Bronx County, New York",2073,233,1840,1800,5231,17058,1950,2003,549,33.7,177,20,458,41,1387,1840,968
2016,36005002500,"Census Tract 25, Bronx County, New York",2053,236,1817,1745,5440,20027,1945,2004,692,35.9,223,20,403,39,1366,1817,927
2017,36005002500,"Census Tract 25, Bronx County, New York",2065,175,1890,1808,5531,20893,1943,2006,815,35.8,230,30,452,9,1420,1890,948
2018,36005002500,"Census Tract 25, Bronx County, New York",2088,141,1947,1856,5630,23790,1951,2005,830,35.3,189,23,485,9,1430,1947,918
2019,36005002500,"Census Tract 25, Bronx County, New York",2104,127,1977,1905,5385,22560,1954,2006,902,37.3,183,25,573,0,1460,1977,917
2020,36005002500,"Census Tract 25, Bronx County, New York",2031,99,1932,1864,5402,26655,1954,2007,1029,39.7,180,28,568,0,1455,1932,871
2012,36005002701,"Census Tract 27.01, Bronx County, New York",1105,51,1054,1054,3100,26272,1956,2000,608,30,135,0,564,0,610,1054,459
2013,36005002701,"Census Tract 27.01, Bronx County, New York",1105,46,1059,1059,3172,26094,1955,2001,630,31.1,118,0,482,0,659,1059,491
2014,36005002701,"Census Tract 27.01, Bronx County, New York",1117,31,1086,1086,3172,20159,1951,2004,630,33.5,89,0,429,0,749,1086,577
2015,36005002701,"Census Tract 27.01, Bronx County, New York",1130,28,1102,1102,3016,20153,1952,2003,627,31.5,118,0,416,0,758,1102,557
2016,36005002701,"Census Tract 27.01, Bronx County, New York",1092,16,1076,1076,3034,18409,1952,2003,447,31.6,129,0,397,0,732,1076,612
2017,36005002701,"Census Tract 27.01, Bronx County, New York",1090,31,1059,1059,2958,17383,1953,2003,434,31.2,130,0,370,0,729,1059,620
2018,36005002701,"Census Tract 27.01, Bronx County, New York",1092,31,1061,1061,2868,20599,1954,2004,440,30.4,154,0,367,0,751,1061,550
2019,36005002701,"Census Tract 27.01, Bronx County, New York",1086,43,1043,1043,2608,18832,1957,2003,443,31.8,102,0,374,0,757,1043,509
2020,36005002701,"Census Tract 27.01, Bronx County, New York",1091,64,1027,1025,2661,17926,1959,2007,494,38.2,74,5,374,0,722,1027,590
2012,36005002702,"Census Tract 27.02, Bronx County, New York",1488,145,1343,1326,4171,20208,1970,2002,719,34.6,110,5,442,0,991,1343,576
2013,36005002702,"Census Tract 27.02, Bronx County, New York",1465,85,1380,1357,4225,18934,1971,2002,943,43.3,102,10,459,0,922,1380,665
2014,36005002702,"Census Tract 27.02, Bronx County, New York",1423,90,1333,1303,4216,17980,1950,2001,977,40.6,73,21,463,0,876,1333,659
2015,36005002702,"Census Tract 27.02, Bronx County, New York",1452,60,1392,1335,4230,NA,1946,2004,995,47.4,154,9,448,0,918,1392,751
2016,36005002702,"Census Tract 27.02, Bronx County, New York",1476,40,1436,1363,4107,14845,1942,2005,963,49.5,157,0,474,0,962,1436,776
2017,36005002702,"Census Tract 27.02, Bronx County, New York",1513,46,1467,1408,3966,12500,1952,2007,1001,50,151,11,464,0,956,1467,834
2018,36005002702,"Census Tract 27.02, Bronx County, New York",1505,21,1484,1428,4091,13986,1949,2010,856,47.9,90,18,628,0,799,1484,852
2019,36005002702,"Census Tract 27.02, Bronx County, New York",1558,38,1520,1464,3954,12645,1960,2011,921,45.5,116,17,634,0,849,1520,895
2020,36005002702,"Census Tract 27.02, Bronx County, New York",1514,44,1470,1454,4075,13750,1967,2011,1051,46.2,92,10,631,0,841,1470,831
2012,36005002800,"Census Tract 28, Bronx County, New York",2409,110,2299,2054,4915,48362,1965,1996,910,25.2,351,9,1632,0,392,2299,217
2013,36005002800,"Census Tract 28, Bronx County, New York",2427,87,2340,2081,4953,47600,1964,2000,937,26.6,366,0,1575,0,484,2340,179
2014,36005002800,"Census Tract 28, Bronx County, New York",2418,82,2336,2028,4727,49291,1965,1998,951,25.8,446,11,1584,0,430,2336,245
2015,36005002800,"Census Tract 28, Bronx County, New York",2410,76,2334,2003,4200,49735,1965,2000,927,25.8,485,13,1707,0,286,2334,213
2016,36005002800,"Census Tract 28, Bronx County, New York",2435,44,2391,1995,4078,47652,1966,1998,937,27.7,491,38,1519,0,489,2391,194
2017,36005002800,"Census Tract 28, Bronx County, New York",2450,73,2377,1928,4163,50816,1966,1998,983,28.1,390,52,1416,0,489,2377,107
2018,36005002800,"Census Tract 28, Bronx County, New York",2443,134,2309,1851,4048,50931,1968,1998,1025,28.1,362,33,1444,0,415,2309,201
2019,36005002800,"Census Tract 28, Bronx County, New York",2429,124,2305,1975,4370,50292,1968,1996,978,27.8,523,33,1485,0,463,2305,193
2020,36005002800,"Census Tract 28, Bronx County, New York",2563,162,2401,2077,4254,50634,1968,1996,987,26,640,40,1300,0,720,2401,155
2012,36005003100,"Census Tract 31, Bronx County, New York",553,80,473,390,1101,26857,1946,2002,950,34.3,52,0,79,0,310,473,93
2013,36005003100,"Census Tract 31, Bronx County, New York",531,53,478,378,1078,26000,1949,2003,1020,41.5,59,0,130,0,250,478,113
2014,36005003100,"Census Tract 31, Bronx County, New York",545,36,509,385,1250,34432,1945,2004,1014,25.1,29,0,78,11,300,509,87
2015,36005003100,"Census Tract 31, Bronx County, New York",533,26,507,408,1196,34500,1939,2002,959,29.7,17,0,95,10,310,507,101
2016,36005003100,"Census Tract 31, Bronx County, New York",559,0,559,429,1324,41838,1939,2004,1025,29.7,13,0,131,9,306,559,108
2017,36005003100,"Census Tract 31, Bronx County, New York",579,15,564,435,1292,41295,1939,2004,1176,34.9,22,5,153,8,305,564,129
2018,36005003100,"Census Tract 31, Bronx County, New York",612,15,597,472,1312,41304,0,2009,1245,34.8,19,6,208,11,284,597,127
2019,36005003100,"Census Tract 31, Bronx County, New York",709,51,658,512,1180,41111,1946,2012,1187,36.1,66,6,211,17,303,658,122
2020,36005003100,"Census Tract 31, Bronx County, New York",735,48,687,583,1533,35284,1946,2014,1320,38.9,105,7,246,47,367,687,120
2012,36005003300,"Census Tract 33, Bronx County, New York",1234,75,1159,1016,3146,19597,1971,2001,485,36.6,65,14,465,0,675,1159,553
2013,36005003300,"Census Tract 33, Bronx County, New York",1225,69,1156,1048,3557,19865,1962,2002,522,38.6,77,11,439,0,699,1156,572
2014,36005003300,"Census Tract 33, Bronx County, New York",1222,56,1166,1045,3346,19063,1954,2001,479,33.1,74,13,392,0,723,1166,535
2015,36005003300,"Census Tract 33, Bronx County, New York",1239,95,1144,1042,3551,19194,1949,2003,613,36.4,55,10,350,0,724,1144,584
2016,36005003300,"Census Tract 33, Bronx County, New York",1267,84,1183,1058,3354,19300,1939,2004,626,35.3,57,12,276,0,727,1183,569
2017,36005003300,"Census Tract 33, Bronx County, New York",1286,70,1216,1108,3277,18659,1946,2005,661,36.8,60,12,246,0,793,1216,580
2018,36005003300,"Census Tract 33, Bronx County, New York",1251,53,1198,1065,3025,14857,1973,2004,600,38.1,63,16,275,0,757,1198,550
2019,36005003300,"Census Tract 33, Bronx County, New York",1238,55,1183,1068,2858,20299,1977,2005,693,37.2,83,21,297,0,735,1183,493
2020,36005003300,"Census Tract 33, Bronx County, New York",1240,32,1208,1104,2676,20769,1980,2007,948,36.4,127,12,480,0,657,1208,502
2012,36005003500,"Census Tract 35, Bronx County, New York",1336,61,1275,1233,3457,21214,1945,1999,696,37,129,18,367,0,871,1275,481
2013,36005003500,"Census Tract 35, Bronx County, New York",1346,57,1289,1205,3421,21992,1945,2001,736,34.8,120,7,420,0,795,1289,478
2014,36005003500,"Census Tract 35, Bronx County, New York",1383,74,1309,1235,3432,21250,1943,2002,773,34.1,109,8,426,0,853,1309,513
2015,36005003500,"Census Tract 35, Bronx County, New York",1397,80,1317,1227,3569,24704,1939,2001,843,30.4,132,8,389,0,873,1317,466
2016,36005003500,"Census Tract 35, Bronx County, New York",1410,63,1347,1251,3670,23622,1939,2003,880,28.3,129,7,359,0,922,1347,514
2017,36005003500,"Census Tract 35, Bronx County, New York",1399,71,1328,1229,3548,29946,1953,2004,1004,28.7,140,10,371,0,882,1328,493
2018,36005003500,"Census Tract 35, Bronx County, New York",1384,91,1293,1210,3638,29318,1956,2005,1051,29,153,10,389,0,841,1293,462
2019,36005003500,"Census Tract 35, Bronx County, New York",1402,80,1322,1246,3655,29769,1958,2007,1094,35.4,193,11,452,0,851,1322,523
2020,36005003500,"Census Tract 35, Bronx County, New York",1458,84,1374,1307,3523,28701,1966,2007,1132,41.6,158,27,550,0,941,1374,512
2012,36005003700,"Census Tract 37, Bronx County, New York",83,0,83,83,225,26116,1988,2006,988,34.5,0,0,13,0,70,83,29
2013,36005003700,"Census Tract 37, Bronx County, New York",100,0,100,100,242,34000,1967,2004,869,31.3,0,0,39,0,61,100,36
2014,36005003700,"Census Tract 37, Bronx County, New York",96,0,96,96,199,9327,1960,2003,872,34.7,0,9,30,0,57,96,55
2015,36005003700,"Census Tract 37, Bronx County, New York",118,0,118,118,246,NA,1961,2004,907,34.9,0,9,34,0,75,118,58
2016,36005003700,"Census Tract 37, Bronx County, New York",145,0,145,145,279,NA,1960,2008,930,37.5,4,8,49,0,88,145,60
2017,36005003700,"Census Tract 37, Bronx County, New York",143,0,143,143,292,NA,1960,2006,1035,38.5,4,8,57,0,78,143,55
2018,36005003700,"Census Tract 37, Bronx County, New York",148,0,148,148,269,NA,1943,2008,1076,38.3,20,8,54,0,97,148,70
2019,36005003700,"Census Tract 37, Bronx County, New York",145,0,145,145,250,NA,1961,2011,1074,35.9,21,0,78,0,78,145,63
2020,36005003700,"Census Tract 37, Bronx County, New York",145,0,145,145,222,NA,1966,2010,982,29.9,48,0,105,0,79,145,57
2012,36005003800,"Census Tract 38, Bronx County, New York",443,36,407,241,913,20871,1965,1999,818,37.8,12,15,114,0,112,407,145
