address,county_fips,boroid,censustract,census_tract,geoid,geoid_nyp
350 BALCOM AVENUE,005,2,110,011000,36005011000,36005011000
660 W 180TH STREET,061,1,263,026300,36061026300,36061026300
1441 REMSEN AVENUE,047,3,992,099200,36047099200,36047099200
115 EAST MOSHOLU PKWY,005,2,NA,041900,36005041900,NA
2885 VALENTINE AVE,005,2,40702,040702,36005040702,NA
2235 BASSFORD AVE,005,2,385,038500,36005038500,36005038500
1901 LORING PLACE,005,2,24502,024502,36005024502,NA
693 HALSEY STREET,047,3,383,038300,36047038300,36047038300
1084 GIPSON STREET MIDDLE RM ON 2ND FL,NA,4,NA,NA,NA,NA
2194 UNIVERISTY AVE,005,2,NA,025100,36005025100,NA
184 NAGLE AVENUE,061,1,291,029100,36061029100,36061029100
1561 PARK PLACE,047,3,347,034700,36047034700,36047034700
2087 CRESTON AVE,005,2,241,024100,36005024100,36005024100
225 BEACH 31ST ST,081,4,992,099200,36081099200,36081099200
2831 EXTERIOR STREET,005,2,283,028300,36005028300,36005028300
751 GERARD AVENUE,005,2,63,006300,36005006300,NA
984 EAST 15TH STREET,047,3,530,053000,36047053000,36047053000
1685 UNIVERSITY AVENUE,005,2,21501,021501,36005021501,NA
225 EAST 63RD STREET,061,1,110,011000,36061011000,36061011000
1850 CROSS BRONX EXPRESSWAY,005,2,76,007600,36005007600,36005007600
1500 HOE AVENUE,005,2,157,015700,36005015700,36005015700
8920 161 STREET,081,4,44601,044601,36081044601,NA
2529 MATTHEWS AVENUE,005,2,328,032800,36005032800,36005032800
350 ST ANNS AVENUE,005,2,33,003300,36005003300,36005003300
2315 ASTORIA BLVD,081,4,69,006900,36081006900,36081006900
701 WEST 180TH ST,061,1,265,026500,36061026500,36061026500
12 SHIEL AVENUE 1ST FL APTLEFT SID,085,5,NA,020801,36085020801,NA
1052 LONGFELLOW AVENUE,005,2,119,011900,36005011900,36005011900
14132 255TH STREET,081,4,660,066000,36081066000,36081066000
1898 BELMONT AVENUE,005,2,36901,036901,36005036901,NA
900 OGDEN AVE,005,2,189,018900,36005018900,36005018900
8929 163RD STREET,081,4,44601,044601,36081044601,NA
3300 BAILEY AVENUE,005,2,277,027700,36005027700,36005027700
950 EVERGREEN AVENUE,005,2,28,002800,36005002800,36005002800
2006 ELLIS AVENUE,005,2,78,007800,36005007800,36005007800
