address,county_fips,census_tract_20
"213 SCHENECTADY AVENUE, NEW YORK, NY 11213",047,035101
"1509 PACIFIC STREET, NEW YORK, NY 11213",047,031100
"1351 HANCOCK STREET, NEW YORK, NY 11237",047,043700
"348 ST NICHOLAS AVENUE, NEW YORK, NY 10027",061,021500
"1453 WALTON AVENUE, NEW YORK, NY 10452",005,022300
"541 MANHATTAN AVENUE, NEW YORK, NY 10027",061,025700
"2913 MIDDLETOWN ROAD, NEW YORK, NY 10461",005,026602
"1161 STRATFORD AVENUE, NEW YORK, NY 10472",005,004800
"2255 BASSFORD AVENUE, NEW YORK, NY 10457",005,038500
"1466 GRAND CONCOURSE, NEW YORK, NY 10457",005,022500
"199 FREEMAN STREET, NEW YORK, NY 11222",047,057500
"520 WEST 156 STREET, NEW YORK, NY 10032",061,024100
"387 WARWICK STREET, NEW YORK, NY 11207",047,115000
"566 PINE STREET, NEW YORK, NY 11208",047,120801
"30 SICKLES STREET, NEW YORK, NY 10040",061,028500
"1589 OCEAN AVENUE, NEW YORK, NY 11230",047,076000
"731 EAST 175 STREET, NEW YORK, NY 10457",005,036902
"372 WALLABOUT STREET, NEW YORK, NY 11206",047,050700
"470 WYONA STREET, NEW YORK, NY 11207",047,115800
"1078 NOSTRAND AVENUE, NEW YORK, NY 11225",047,080000
"2001 MORRIS AVENUE, NEW YORK, NY 10453",005,024100
"42 HOWARD AVENUE, NEW YORK, NY 11221",047,037500
"428 ROGERS AVENUE, NEW YORK, NY 11225",047,032700
"1731 VAN BUREN STREET, NEW YORK, NY 10460",005,024000
"1350 AMSTERDAM AVENUE, NEW YORK, NY 10027",061,021900
"108 WEIRFIELD STREET, NEW YORK, NY 11221",047,040100
"41 THOMAS S BOYLAND STREET, NEW YORK, NY 11233",047,037300
"534 GRASSMERE TERRACE, NEW YORK, NY 11691",081,099801
"430 EAST 162 STREET, NEW YORK, NY 10451",005,014100
"456 DECATUR STREET, NEW YORK, NY 11233",047,038100
"4307 18 AVENUE, NEW YORK, NY 11218",047,048000
"1133 EAST 224 STREET, NEW YORK, NY 10466",005,038600
"365 SOUTH 4 STREET, NEW YORK, NY 11211",047,052700
"59-06 LINDEN STREET, NEW YORK, NY 11385",081,059300
"151 HENDRICKS AVENUE, NEW YORK, NY 10301",085,000900
"60-22 MENAHAN STREET, NEW YORK, NY 11385",081,059300
"1621 LEXINGTON AVENUE, NEW YORK, NY 10029",061,016600
"602 WEST 139 STREET, NEW YORK, NY 10031",061,022500
"1043 TELLER AVENUE, NEW YORK, NY 10456",005,017500
"7 RIVINGTON STREET, NEW YORK, NY 10002",061,001800
"432 EAST 143 STREET, NEW YORK, NY 10454",005,004100
"26 LOUIS PLACE, NEW YORK, NY 11233",047,030100
"523 HUDSON STREET, NEW YORK, NY 10014",061,007500
"315 WEST 33 STREET, NEW YORK, NY 10001",061,010300
"509 EAST 182 STREET, NEW YORK, NY 10457",005,038500
"1181 EAST 214 STREET, NEW YORK, NY 10469",005,038200
"2874 GRAND CONCOURSE, NEW YORK, NY 10458",005,040702
"222-16 143 AVENUE, NEW YORK, NY 11413",081,068200
"616 EAST 37 STREET, NEW YORK, NY 11203",047,083200
"1049 GLENMORE AVENUE, NEW YORK, NY 11208",047,119600
"116-12 169 STREET, NEW YORK, NY 11434",081,028000
"4902 6 AVENUE, NEW YORK, NY 11220",047,009800
"105-19 31 AVENUE, NEW YORK, NY 11369",081,036700
"149-73 HUXLEY STREET, NEW YORK, NY 11422",081,066403
"87-01 58 AVENUE, NEW YORK, NY 11373",081,047500
"1694 WALTON AVENUE, NEW YORK, NY 10453",005,022702
"17-31 LINDEN STREET, NEW YORK, NY 11385",081,054700
"1291 ST NICHOLAS AVENUE, NEW YORK, NY 10033",061,026300
"706 RIVERSIDE DRIVE, NEW YORK, NY 10031",061,023300
"3094 VILLA AVENUE, NEW YORK, NY 10468",005,041100
"1000 SIMPSON STREET, NEW YORK, NY 10459",005,015900
"879 CAULDWELL AVENUE, NEW YORK, NY 10456",005,018502
"115-12 168 STREET, NEW YORK, NY 11434",081,028000
"698 HENDERSON AVENUE, NEW YORK, NY 10310",085,010500
"238 VAN PELT AVENUE, NEW YORK, NY 10303",085,023100
"663 MAC DONOUGH STREET, NEW YORK, NY 11233",047,037700
"404 LENOX AVENUE, NEW YORK, NY 10037",061,020800
"453 HUDSON STREET, NEW YORK, NY 10014",061,006900
"255 LAFAYETTE STREET, NEW YORK, NY 10012",061,004300
"105-05 93 STREET, NEW YORK, NY 11417",081,005400
"808 BLAKE AVENUE, NEW YORK, NY 11207",047,116000
"2609 BAINBRIDGE AVENUE, NEW YORK, NY 10458",005,039901
"1184 GREENE AVENUE, NEW YORK, NY 11221",047,041900
"297A COOPER STREET, NEW YORK, NY 11237",047,040900
"36 WEST 119 STREET, NEW YORK, NY 10026",061,019000
"116-37 194 STREET, NEW YORK, NY 11412",081,052800
"161-33 128 AVENUE, NEW YORK, NY 11434",081,029400
"122-02 LUCAS STREET, NEW YORK, NY 11413",081,037600
"2931 FENTON AVENUE, NEW YORK, NY 10469",005,036000
"525 WEST 156 STREET, NEW YORK, NY 10032",061,024100
"71A SOMERS STREET, NEW YORK, NY 11233",047,036900
