"GEOID","rs_17_count"
"36005000400",9
"36005001900",503
"36005002000",268
"36005002500",566
"36005002701",235
"36005002702",1159
"36005002800",1585
"36005003100",439
"36005003300",760
"36005003500",531
"36005003700",91
"36005003800",8
"36005003900",890
"36005004001",7
"36005004100",145
"36005004200",667
"36005004300",573
"36005004400",31
"36005004600",201
"36005004800",996
"36005005001",716
"36005005002",1116
"36005005100",289
"36005005200",304
"36005005400",680
"36005005600",317
"36005005902",731
"36005006000",227
"36005006200",449
"36005006300",1417
"36005006400",315
"36005006500",815
"36005006700",745
"36005006800",210
"36005006900",884
"36005007000",158
"36005007100",290
"36005007200",684
"36005007300",790
"36005007500",939
"36005007600",616
"36005007700",205
"36005007800",805
"36005007900",873
"36005008300",1025
"36005008500",857
"36005008700",1123
"36005008900",461
"36005009200",980
"36005009300",900
"36005009600",78
"36005009800",321
"36005011502",749
"36005011700",311
"36005011800",9
"36005011900",855
"36005012101",375
"36005012102",160
"36005012300",619
"36005012500",699
"36005012701",243
"36005012901",921
"36005013100",976
"36005013200",69
"36005013300",257
"36005013500",473
"36005013800",138
"36005014100",1515
"36005014300",506
"36005014500",1080
"36005014701",201
"36005014702",41
"36005014900",842
"36005015100",833
"36005015300",615
"36005015500",502
"36005015700",722
"36005015900",180
"36005016000",18
"36005016100",610
"36005016200",6
"36005016400",21
"36005016500",367
"36005016700",748
"36005016900",216
"36005017300",769
"36005017500",1485
"36005017701",732
"36005017702",636
"36005017901",1115
"36005017902",1092
"36005018101",510
"36005018102",1575
"36005018301",956
"36005018302",1048
"36005018400",61
"36005018500",2143
"36005018900",1812
"36005019300",1051
"36005019400",86
"36005019500",2350
"36005019700",1913
"36005019900",1364
"36005020000",952
"36005020100",938
"36005020200",397
"36005020400",329
"36005020501",1498
"36005020502",126
"36005020601",216
"36005020900",1554
"36005021001",152
"36005021002",375
"36005021100",806
"36005021200",257
"36005021301",156
"36005021302",1108
"36005021501",1011
"36005021502",1408
"36005021601",899
"36005021602",414
"36005021700",1408
"36005021800",1443
"36005021900",391
"36005022000",470
"36005022101",1195
"36005022102",1122
"36005022200",539
"36005022300",1357
"36005022401",829
"36005022403",1028
"36005022404",1119
"36005022500",1580
"36005022701",1470
"36005022702",539
"36005022703",484
"36005022800",1724
"36005022901",1320
"36005022902",543
"36005023000",471
"36005023100",283
"36005023200",202
"36005023301",1185
"36005023302",876
"36005023501",950
"36005023502",990
"36005023600",150
"36005023702",286
"36005023703",1303
"36005023704",1152
"36005023800",80
"36005023900",2262
"36005024000",167
"36005024100",1589
"36005024300",1054
"36005024400",139
"36005024501",730
"36005024502",851
"36005024600",158
"36005024700",719
"36005024800",384
"36005025000",201
"36005025100",1179
"36005025200",44
"36005025300",1629
"36005025400",34
"36005025500",1756
"36005025600",246
