"zipcode","rs_17_count"
10001,6004
10002,7772
10003,6320
10004,11
10005,1006
10006,66
10007,820
10009,13916
10010,5533
10011,7141
10012,2800
10013,3932
10014,4480
10016,7879
10017,1579
10018,3459
10019,10549
10021,3620
10022,2972
10023,7649
10024,7234
10025,13718
10026,5650
10027,8342
10028,5031
10029,8013
10030,5274
10031,10693
10032,12977
10033,13114
10034,10473
10035,4921
10036,11177
10037,5884
10038,2425
10039,4056
10040,11395
10044,25
10065,2726
10069,1773
10075,3332
10128,5432
10280,417
10282,2008
10301,2937
10302,422
10303,190
10304,1664
10305,407
10306,1335
10307,22
10308,76
10310,333
10314,451
10451,7117
10452,17912
10453,17620
10454,4323
10455,6442
10456,15529
10457,14227
10458,19418
10459,7649
10460,9291
10461,6190
10462,9583
10463,10895
10464,108
10465,308
10466,4453
10467,20192
10468,18588
10469,2123
10470,1831
10471,2498
10472,7404
10473,3059
10474,1960
10475,292
11001,38
11004,215
11005,36
11040,9
11101,9157
11102,5899
11103,6320
11104,6287
11105,3865
11106,7178
11201,8955
11203,6390
11204,5569
11205,3473
11206,5043
11207,4344
11208,2479
11209,9708
11210,8298
11211,7163
11212,7215
11213,9862
11214,8194
11215,4779
11216,5905
11217,5498
11218,8125
11219,6119
11220,6263
11221,7115
11222,5358
11223,6190
11224,1344
11225,13780
11226,23964
11228,823
11229,7331
11230,12086
11231,1967
11232,2333
11233,5613
11234,791
11235,9961
11236,712
11237,5148
11238,7702
11249,4404
11354,4464
11355,9405
11356,112
11357,247
11358,1259
11360,415
11361,1073
11362,168
11363,103
11364,1048
11365,2549
11366,682
11367,2927
11368,7743
11369,542
11370,324
11372,9680
11373,9912
11374,6371
11375,6844
11377,8916
11378,268
11379,1136
11385,7519
11411,78
11412,282
11413,101
11414,157
11415,2925
11416,144
11417,219
11418,1714
11419,410
11420,162
11421,975
11422,34
11423,1666
11426,251
11427,1625
11428,401
11429,202
11432,6406
11433,471
11434,493
11435,5372
11691,5507
11692,26
11693,169
11694,1155
