violationid,boroid,address,zip,county_fips,censustract,census_tract,geoid
10038399,1,596 EDGECOMBE AVE,10032,NA,24301,NA,NA
10041522,2,2800 JEROME AVE,10468,NA,40303,NA,NA
10045812,4,11-22 MCBRIDE ST,11691,NA,100802,NA,NA
10058179,1,20 MORNINGSIDE AVE,10026,NA,20102,NA,NA
10060213,4,11-24 MCBRIDE ST,11691,NA,100802,NA,NA
10103392,4,11-11 MCBRIDE ST,11691,NA,100802,NA,NA
10108518,4,31-07 LEWMAY ROAD,11691,NA,99802,NA,NA
10109487,4,29-15 LEWMAY ROAD,11691,NA,99802,NA,NA
10156173,3,1800 OCEAN PKWY,11223,NA,41402,NA,NA
10176403,4,41-13 ROCKAWAY BEACH BLVD,11691,NA,97204,NA,NA
10189073,4,319 BEACH 98 ST,11694,NA,94201,NA,NA
10218447,3,3111 BRIGHTON 7 ST,11235,NA,36002,NA,NA
10330940,4,22 CORNAGA AVE,11691,NA,100803,NA,NA
10406287,5,3 LOCKMAN PLACE,10303,NA,31902,NA,NA
10420207,3,91 CRYSTAL ST,NA,NA,NA,NA,NA
10453964,4,98-51 QUEENS BLVD,11374,NA,71304,NA,NA
10454017,4,98-41 QUEENS BLVD,11374,NA,71304,NA,NA
10461544,4,11-41 MCBRIDE ST,11691,NA,100802,NA,NA
10499105,4,29-30 137 ST,11354,NA,88901,NA,NA
10547803,3,780 ELDERT LANE,11208,NA,1208,NA,NA
10549312,4,84-11 LANDER ST,10435,NA,NA,NA,NA
10594394,4,25-65 CORNAGA AVE,11691,NA,100802,NA,NA
10599133,2,1841 CROSS BX SERVICE ROAD NORTH,10460,NA,21601,NA,NA
10599781,2,1075 GERARD AVE,11452,NA,NA,NA,NA
10635043,4,11-29 MCBRIDE ST,11691,NA,100802,NA,NA
10712603,2,1675 METROPOLITAN AVE,10462,NA,21001,NA,NA
10773222,4,160 SOUTH ROAD,11433,NA,25402,NA,NA
10911348,3,3133 BRIGHTON 7 ST,11235,NA,36002,NA,NA
10976604,4,11-23 MCBRIDE ST,11691,NA,100802,NA,NA
11023014,4,155-41 AMBER ST,11414,NA,6202,NA,NA
11135441,4,32-05 LEWMAY ROAD,11691,NA,99802,NA,NA
11301081,4,530 BRIAR PLACE,11691,NA,99801,NA,NA
11302834,5,125 GREENFIELD AVE,10304,NA,40,NA,NA
11341854,5,119 SOUTH AVE,NA,NA,NA,NA,NA
11372735,2,900 CO-OP CITY BLVD,10475,NA,46201,NA,NA
11408905,4,10-39 MCBRIDE ST,11691,NA,100802,NA,NA
11421075,3,9000 SHORE ROAD,11209,NA,5201,NA,NA
11460176,4,10-40 MCBRIDE ST,11691,NA,100802,NA,NA
11549939,4,56 VAN CLEEF ST,11368,NA,43701,NA,NA
11566266,3,1922 UNION ST,NA,NA,NA,NA,NA
11608809,4,90-10 HOLLAND AVE,11693,NA,94203,NA,NA
11696798,4,11-19 MCBRIDE ST,11691,NA,100802,NA,NA
11697318,4,189 64 AVE,11365,NA,134701,NA,NA
11725954,1,1150 5 AVE,10129,NA,16002,NA,NA
11796369,2,950 EAST 176TH ST,2016,NA,NA,NA,NA
11879092,4,150-14 VILLAGE ROAD,11432,NA,77905,NA,NA
11958515,3,43 GERALD H CHAMBERS SQUARE,11235,NA,61004,NA,NA
11981079,1,225 EAST 39TH ST,NA,NA,NA,NA,NA
12004412,4,1-75 BEACH 91 ST,11693,NA,94203,NA,NA
12033488,2,225 EAST 174TH ST,10457,NA,22901,NA,NA
12137258,4,56-16 BEACH CHANNEL DRIVE,11692,NA,97203,NA,NA
12150104,4,109 ATLANTIC AVE,11418,NA,12601,NA,NA
12151736,4,21-09 DIX AVE,11691,NA,103201,NA,NA
12163979,4,107 77 ST,11417,NA,4401,NA,NA
12173806,4,125 BEACH 19 ST,11691,NA,99802,NA,NA
12269234,3,451 MAPLE ST,NA,NA,NA,NA,NA
12436716,5,220 OSGOOD AVE,10304,NA,40,NA,NA
12511541,3,782 MARCY AVE,2016,NA,NA,NA,NA
12536571,4,147 72 ROAD,11367,NA,77907,NA,NA
12686764,4,1-51 BEACH 91 ST,11693,NA,94203,NA,NA
12754752,4,18 GATEWAY BLVD,11691,NA,101003,NA,NA
12777328,3,755 LINCOLN AVE,11208,NA,1208,NA,NA
12805806,4,1-71 BEACH 91 ST,11693,NA,94203,NA,NA
12806444,1,501 WEST 52 ST,10019,NA,135,NA,NA
12849338,5,130 SEAVIEW AVE,NA,NA,NA,NA,NA
12886698,3,1326 OCEAN AVE,NA,NA,NA,NA,NA
12976871,4,54-30 BEACH CHANNEL DRIVE,11692,NA,97203,NA,NA
9762201,4,4-74 BEACH 45 ST,11691,NA,97203,NA,NA
9800563,4,1-63 BEACH 91 ST,11693,NA,94203,NA,NA
9853092,4,120 145 ST,11436,NA,18401,NA,NA
