count,Eviction Postcode
46,10016
31,11415
6,11109
54,11412
66,11419
4,11363
76,10037
11,10044
29,10013
45,11204
27,10021
81,11230
56,10011
27,11369
228,11233
134,10455
94,11373
4,10007
100,10454
26,11428
34,10014
154,11225
38,11421
104,11433
47,10475
45,11367
127,10473
56,11101
42,11420
28,10302
70,10009
25,11693
44,11365
68,10030
38,11378
20,11379
100,11434
7,10075
5,10069
52,10474
30,10012
116,10033
87,10461
68,10036
35,10003
133,10463
51,11218
135,11210
65,11223
114,11432
63,11224
328,10457
14,11360
14,11215
68,11692
302,11212
13,10308
313,10453
84,10034
32,11217
116,10032
69,10001
29,10306
1,11240
128,10031
73,10002
268,10460
34,11356
85,10301
57,10019
4,10280
26,10023
42,11103
268,10452
57,11229
61,11205
2,10282
6,10464
173,10451
252,11208
107,11435
1,11753
208,10472
187,11213
216,11203
53,11422
112,11216
124,11385
26,10471
398,10458
14,11358
61,11354
3,10307
12,10005
9,11426
34,11436
197,10462
29,11232
35,11201
65,11413
138,10469
38,11102
30,11427
42,11423
41,11375
160,11691
35,10465
94,11235
36,11416
86,11372
1,01000
97,10027
53,11355
86,10040
6,11366
87,11206
31,11429
334,11226
181,11221
1,11040
37,11211
61,11220
48,10314
234,10466
8,10004
24,11417
44,10305
56,10303
89,11234
32,10018
314,10456
48,11239
22,10024
18,10065
398,10467
4,11004
1,11202
11,11364
26,10017
15,11249
112,10029
19,10038
64,10026
41,11106
174,11236
70,10039
52,11418
32,11694
18,10312
47,11237
89,10035
330,10468
12,10309
30,11228
90,11214
273,11207
14,11357
28,11222
51,11374
1,10101
15,10010
42,10470
4,10006
168,11368
82,10304
31,11104
73,11238
179,10459
17,11361
35,10128
18,11414
37,11105
25,11231
15,11370
4,11362
12,11411
43,11219
31,10022
86,10025
30,10028
66,11377
73,11209
39,10310
